date,year,month,soi
 1957m4,1957,4,1
 1957m5,1957,5,-12
 1957m6,1957,6,-2
 1957m7,1957,7,1
 1957m8,1957,8,-10
 1957m9,1957,9,-11
1957m10,1957,10,-1
1957m11,1957,11,-12
1957m12,1957,12,-4
 1958m1,1958,1,-17
 1958m2,1958,2,-7
 1958m3,1958,3,-1
 1958m4,1958,4,1
 1958m5,1958,5,-8
 1958m6,1958,6,0
 1958m7,1958,7,2
 1958m8,1958,8,8
 1958m9,1958,9,-3
1958m10,1958,10,-2
1958m11,1958,11,-5
1958m12,1958,12,-7
 1959m1,1959,1,-9
 1959m2,1959,2,-14
 1959m3,1959,3,8
 1959m4,1959,4,4
 1959m5,1959,5,3
 1959m6,1959,6,-6
 1959m7,1959,7,-5
 1959m8,1959,8,-5
 1959m9,1959,9,0
1959m10,1959,10,4
1959m11,1959,11,11
1959m12,1959,12,8
 1960m1,1960,1,0
 1960m2,1960,2,-2
 1960m3,1960,3,6
 1960m4,1960,4,8
 1960m5,1960,5,5
 1960m6,1960,6,-2
 1960m7,1960,7,5
 1960m8,1960,8,7
 1960m9,1960,9,7
1960m10,1960,10,-1
1960m11,1960,11,7
1960m12,1960,12,7
 1961m1,1961,1,-3
 1961m2,1961,2,6
 1961m3,1961,3,-21
 1961m4,1961,4,9
 1961m5,1961,5,1
 1961m6,1961,6,-3
 1961m7,1961,7,2
 1961m8,1961,8,0
 1961m9,1961,9,1
1961m10,1961,10,-5
1961m11,1961,11,7
1961m12,1961,12,14
 1962m1,1962,1,17
 1962m2,1962,2,5
 1962m3,1962,3,-1
 1962m4,1962,4,1
 1962m5,1962,5,12
 1962m6,1962,6,5
 1962m7,1962,7,0
 1962m8,1962,8,5
 1962m9,1962,9,5
1962m10,1962,10,10
1962m11,1962,11,5
1962m12,1962,12,1
 1963m1,1963,1,9
 1963m2,1963,2,3
 1963m3,1963,3,7
 1963m4,1963,4,6
 1963m5,1963,5,3
 1963m6,1963,6,-10
 1963m7,1963,7,-1
 1963m8,1963,8,-2
 1963m9,1963,9,-5
1963m10,1963,10,-13
1963m11,1963,11,-9
1963m12,1963,12,-12
